0:0:0:0:0:0:0:1 - - [20/Jan/2020:10:02:23 +0530] "GET /MyFirstWebProject/Bootstrap/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jan/2020:10:02:23 +0530] "GET /MyFirstWebProject/Bootstrap/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jan/2020:10:02:23 +0530] "GET /MyFirstWebProject/image/download.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jan/2020:10:09:14 +0530] "GET /MyFirstWebProject/ HTTP/1.1" 200 1282
0:0:0:0:0:0:0:1 - - [20/Jan/2020:10:09:14 +0530] "GET /MyFirstWebProject/Bootstrap/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jan/2020:10:09:16 +0530] "GET /MyFirstWebProject/Bootstrap/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jan/2020:10:09:16 +0530] "GET /MyFirstWebProject/image/download.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jan/2020:10:11:00 +0530] "GET /MyFirstWebProject/ HTTP/1.1" 200 1299
0:0:0:0:0:0:0:1 - - [20/Jan/2020:10:11:00 +0530] "GET /MyFirstWebProject/Bootstrap/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jan/2020:10:11:02 +0530] "GET /MyFirstWebProject/Bootstrap/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jan/2020:10:11:02 +0530] "GET /MyFirstWebProject/image/download.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jan/2020:10:11:04 +0530] "GET /MyFirstWebProject/admin.html HTTP/1.1" 200 727
0:0:0:0:0:0:0:1 - - [20/Jan/2020:10:11:44 +0530] "GET /MyFirstWebProject/admin.html HTTP/1.1" 200 951
0:0:0:0:0:0:0:1 - - [20/Jan/2020:10:11:44 +0530] "GET /MyFirstWebProject/Bootstrap/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jan/2020:10:11:44 +0530] "GET /MyFirstWebProject/Bootstrap/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jan/2020:10:12:11 +0530] "GET /MyFirstWebProject/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jan/2020:10:12:16 +0530] "GET /MyFirstWebProject/admin.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jan/2020:10:13:51 +0530] "GET /MyFirstWebProject/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jan/2020:10:13:54 +0530] "GET /MyFirstWebProject/admin.html HTTP/1.1" 200 941
0:0:0:0:0:0:0:1 - - [20/Jan/2020:10:15:52 +0530] "GET /MyFirstWebProject/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jan/2020:10:15:52 +0530] "GET /MyFirstWebProject/image/download.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jan/2020:10:15:54 +0530] "GET /MyFirstWebProject/admin.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jan/2020:10:16:00 +0530] "GET /MyFirstWebProject/user.html HTTP/1.1" 200 942
